boxOfficeId;total_gross;gross_per_day
room2015;6528794;65287
45years;520409;16262
straightouttacompton;161058685;2300838
pixar2014;353612737;3367740
exmachina;22819329;465700
thehatefuleight;50002675;1724230
creed;107934759;1829402
joy;53419638;1842056
carol;10126031;158219
danishgirl;9193377;164167
jobs2015;17766658;282010
trumbo2015;7394508;96032
spotlight;31999370;410248
revenant;107742522;3715259
scott2016;227412414;2012499
furyroad;153636354;1155160
brooklyn;26384321;329804
coldwar2015;71083426;748246
bigshort;54188841;1260205